17:54:24.$24 [main] INFO  testCases.TC002_LoginPageTest - *** staring TC004 PDP Add To Cart testing ***
17:55:13.$13 [main] INFO  testCases.TC002_LoginPageTest - *** finished TC004 PDP Add To Cart testing ***
17:55:13.$13 [main] INFO  testCases.TC002_LoginPageTest - *** staring TC009 Add To Wishlist From Minicart testing ***
17:55:16.$16 [main] INFO  testCases.TC002_LoginPageTest - *** finished TC009 Add To Wishlist From Minicart testing ***
17:55:16.$16 [main] INFO  testCases.TC002_LoginPageTest - *** staring TC009 Remove From The Wislist From Minicart testing ***
17:55:20.$20 [main] INFO  testCases.TC002_LoginPageTest - *** finished TC009 Remove From The Wislist From Minicart testing ***
17:55:20.$20 [main] INFO  testCases.TC002_LoginPageTest - *** staring TC009 Increase Product Quantity In Minicart testing ***
17:55:36.$36 [main] INFO  testCases.TC002_LoginPageTest - *** finished TC009 Increase Product Quantity In Minicart testing ***
17:55:36.$36 [main] INFO  testCases.TC002_LoginPageTest - *** staring TC009 Decrease Product Quantity In Minicart testing ***
17:56:10.$10 [main] INFO  testCases.TC002_LoginPageTest - *** finished TC009 Decrease Product Quantity In Minicart testing ***
17:56:10.$10 [main] INFO  testCases.TC002_LoginPageTest - *** staring TC009 Apply Coupon Code In Mini Cart testing ***
17:56:16.$16 [main] INFO  testCases.TC002_LoginPageTest - *** finished TC009 Apply Coupon Code In Mini Carttesting ***
17:56:16.$16 [main] INFO  testCases.TC002_LoginPageTest - *** staring TC009 Remove Coupon Code In Mini Cart testing ***
17:56:19.$19 [main] INFO  testCases.TC002_LoginPageTest - *** finished TC009 Apply Coupon Code In Mini Carttesting ***
17:56:19.$19 [main] INFO  testCases.TC002_LoginPageTest - *** staring TC009 Remove Coupon Code In Mini Cart testing ***
17:56:23.$23 [main] INFO  testCases.TC002_LoginPageTest - *** finished TC009 Apply Coupon Code In Mini Carttesting ***
17:59:35.$35 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\codilar\eclipse-workspace\TGRFramework\master2.xml

17:59:50.$50 [main] INFO  testCases.TC001_AccountRegistrationTest - Clicked Country Dropdown
17:59:51.$51 [main] INFO  testCases.TC001_AccountRegistrationTest - Selected the Country
17:59:51.$51 [main] INFO  testCases.TC001_AccountRegistrationTest - Clicked on the Checkbox
17:59:56.$56 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Starting TC001_AccountRegistrationTest ******
17:59:57.$57 [main] INFO  testCases.TC001_AccountRegistrationTest - Clicked on My account button
17:59:57.$57 [main] INFO  testCases.TC001_AccountRegistrationTest - Providing customer details
17:59:59.$59 [main] INFO  testCases.TC001_AccountRegistrationTest - Validating expected message
18:00:04.$04 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Finished TC001_AccountRegistrationTest ******
18:00:04.$04 [main] INFO  testCases.TC001_AccountRegistrationTest - *** staring TC002 login testing ***
18:00:07.$07 [main] INFO  testCases.TC001_AccountRegistrationTest - Setting Login Details
18:00:14.$14 [main] INFO  testCases.TC001_AccountRegistrationTest - *** finished TC002 login testing ***
18:00:14.$14 [main] INFO  testCases.TC001_AccountRegistrationTest - *** staring TC004 PDP Add To Cart testing ***
18:01:02.$02 [main] INFO  testCases.TC001_AccountRegistrationTest - *** finished TC004 PDP Add To Cart testing ***
18:01:02.$02 [main] INFO  testCases.TC001_AccountRegistrationTest - *** staring TC009 Add To Wishlist From Minicart testing ***
18:01:05.$05 [main] INFO  testCases.TC001_AccountRegistrationTest - *** finished TC009 Add To Wishlist From Minicart testing ***
18:01:05.$05 [main] INFO  testCases.TC001_AccountRegistrationTest - *** staring TC009 Remove From The Wislist From Minicart testing ***
18:01:09.$09 [main] INFO  testCases.TC001_AccountRegistrationTest - *** finished TC009 Remove From The Wislist From Minicart testing ***
18:01:09.$09 [main] INFO  testCases.TC001_AccountRegistrationTest - *** staring TC009 Increase Product Quantity In Minicart testing ***
18:01:25.$25 [main] INFO  testCases.TC001_AccountRegistrationTest - *** finished TC009 Increase Product Quantity In Minicart testing ***
18:01:25.$25 [main] INFO  testCases.TC001_AccountRegistrationTest - *** staring TC009 Decrease Product Quantity In Minicart testing ***
18:01:59.$59 [main] INFO  testCases.TC001_AccountRegistrationTest - *** finished TC009 Decrease Product Quantity In Minicart testing ***
18:01:59.$59 [main] INFO  testCases.TC001_AccountRegistrationTest - *** staring TC009 Apply Coupon Code In Mini Cart testing ***
18:02:05.$05 [main] INFO  testCases.TC001_AccountRegistrationTest - *** finished TC009 Apply Coupon Code In Mini Carttesting ***
18:02:05.$05 [main] INFO  testCases.TC001_AccountRegistrationTest - *** staring TC009 Remove Coupon Code In Mini Cart testing ***
18:02:08.$08 [main] INFO  testCases.TC001_AccountRegistrationTest - *** finished TC009 Apply Coupon Code In Mini Carttesting ***
